Threads,Trials,Probability (%),Performance (MegaTrials Per Second),,,,1,10,100,1000,10000,100000,500000,1000000
1,1,100,1.344067375,,,1,1.344067375,8.250825657,14.14213795,15.17428406,15.24992418,15.06230307,15.29377039,15.30237362
1,10,30,8.250825657,,,2,0.526021714,5.924092822,19.67325789,21.43346988,30.42194601,30.4932525,30.34704456,30.31460961
1,100,28,14.14213795,,,4,0.456425855,4.083250745,28.13696679,54.08052703,40.51913278,60.77405218,60.86697735,60.60365832
1,1000,30.6,15.17428406,,,8,0.41998409,3.029425002,27.57869006,65.7290671,80.43371417,81.03669067,95.37703642,116.1221424
1,10000,28.94,15.24992418,,,12,0.256010926,2.829638829,29.20554397,88.9595546,116.6969564,120.5959788,119.5421807,120.3429392
1,100000,29.06,15.06230307,,,16,0.221927727,2.412564132,24.34857732,99.28494177,153.7965035,160.4515577,160.1493332,157.0128628
1,500000,29.1,15.29377039,,,20,0.000433615,0.005457062,0.034916006,0.519722977,4.807253194,37.82096814,99.71276923,92.79104443
1,1000000,29.08,15.30237362,,,24,0.000592216,0.001748871,0.017707097,0.320781372,5.344929861,41.03350276,48.86927689,57.96120634
2,1,0,0.526021714,,,32,0.016066073,0.207301074,3.18471274,18.87827178,71.70618266,111.986223,157.8626178,157.8777197
2,10,40,5.924092822,,,,,,,,,,,
2,100,27,19.67325789,,,,,,,,,,,
2,1000,31.7,21.43346988,,,,,,,,,,,
2,10000,30.59,30.42194601,,,,,,,,,,,
2,100000,29.36,30.4932525,,,,,,,,,,,
2,500000,29.16,30.34704456,,,,,,,,,,,
2,1000000,29.17,30.31460961,,,,,,,,,,,
4,1,0,0.456425855,,,,,,,,,,,
4,10,30,4.083250745,,,,,,,,,,,
4,100,27,28.13696679,,,,,,,,,,,
4,1000,29.6,54.08052703,,,,,,,,,,,
4,10000,28.27,40.51913278,,,,,,,,,,,
4,100000,28.85,60.77405218,,,,,,,,,,,
4,500000,29.07,60.86697735,,,,,,,,,,,
4,1000000,29.16,60.60365832,,,,,,,,,,,
8,1,100,0.41998409,,,,,,,,,,,
8,10,40,3.029425002,,,,,,,,,,,
8,100,25,27.57869006,,,,,,,,,,,
8,1000,25.6,65.7290671,,,,,,,,,,,
8,10000,28.58,80.43371417,,,,,,,,,,,
8,100000,29.23,81.03669067,,,,,,,,,,,
8,500000,29.1,95.37703642,,,,,,,,,,,
8,1000000,29.09,116.1221424,,,,,,,,,,,
12,1,0,0.256010926,,,,,,,,,,,
12,10,0,2.829638829,,,,,,,,,,,
12,100,26,29.20554397,,,,,,,,,,,
12,1000,28.8,88.9595546,,,,,,,,,,,
12,10000,28.59,116.6969564,,,,,,,,,,,
12,100000,29.1,120.5959788,,,,,,,,,,,
12,500000,29.04,119.5421807,,,,,,,,,,,
12,1000000,29.09,120.3429392,,,,,,,,,,,
16,1,0,0.221927727,,,,,,,,,,,
16,10,40,2.412564132,,,,,,,,,,,
16,100,28,24.34857732,,,,,,,,,,,
16,1000,29.2,99.28494177,,,,,,,,,,,
16,10000,29.21,153.7965035,,,,,,,,,,,
16,100000,29.05,160.4515577,,,,,,,,,,,
16,500000,29.1,160.1493332,,,,,,,,,,,
16,1000000,29.05,157.0128628,,,,,,,,,,,
20,1,0,0.000433615,,,,,,,,,,,
20,10,40,0.005457062,,,,,,,,,,,
20,100,32,0.034916006,,,,,,,,,,,
20,1000,29.8,0.519722977,,,,,,,,,,,
20,10000,28.63,4.807253194,,,,,,,,,,,
20,100000,29.06,37.82096814,,,,,,,,,,,
20,500000,29.1,99.71276923,,,,,,,,,,,
20,1000000,29.11,92.79104443,,,,,,,,,,,
24,1,0,0.000592216,,,,,,,,,,,
24,10,30,0.001748871,,,,,,,,,,,
24,100,19,0.017707097,,,,,,,,,,,
24,1000,27.8,0.320781372,,,,,,,,,,,
24,10000,28.57,5.344929861,,,,,,,,,,,
24,100000,28.95,41.03350276,,,,,,,,,,,
24,500000,29.12,48.86927689,,,,,,,,,,,
24,1000000,29.09,57.96120634,,,,,,,,,,,
32,1,0,0.016066073,,,,,,,,,,,
32,10,10,0.207301074,,,,,,,,,,,
32,100,32,3.18471274,,,,,,,,,,,
32,1000,30.4,18.87827178,,,,,,,,,,,
32,10000,29.73,71.70618266,,,,,,,,,,,
32,100000,28.98,111.986223,,,,,,,,,,,
32,500000,29.07,157.8626178,,,,,,,,,,,
32,1000000,29.12,157.8777197,,,,,,,,,,,
