Year,Month,Temperature (Celsius),Precipitation (in),Deer(s),Grain (in),Global Warming (Celsius),,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
2022,0,-0.72727,9.750994,1,3.781096,-17.522971,,,Temperature (Celsius),-0.72727,3.586076,12.360009,17.304446,21.493064,24.964642,24.940448,21.127938,25.335481,19.951346,14.494137,12.508884,11.777039,6.450062,17.132492,27.045335,29.589657,34.42379,29.971873,32.487734,28.031697,12.412192,11.562165,9.695714,4.454369,14.561234,19.336489,21.774843,28.780361,36.53133,30.582407,29.061746,27.657462,19.7855,12.027719,15.383684,15.301849,17.18512,19.56696,29.761692,27.252494,35.406087,32.560001,34.869126,31.834153,18.340802,19.489085,17.345426,14.958337,19.95764,27.666147,28.743345,29.918187,40.977338,37.317568,30.550563,29.991616,29.71216,16.376148,14.647607
2022,1,3.586076,12.29641,2,11.117378,-17.295947,,,Precipitation (in),9.750994,12.29641,14.794628,11.799544,10.584299,9.694314,7.304207,4.046499,2.997596,2.919979,4.209419,3.684373,8.589455,12.856122,13.270557,13.28109,12.234515,9.607231,6.161427,2.293869,1.12588,0.522111,4.641373,5.062406,9.25786,11.54442,12.638755,13.227699,12.726425,8.502069,6.625326,3.531661,0.890391,2.757822,2.923603,6.462757,6.97683,12.185928,12.904248,11.274577,11.517882,8.077856,6.486053,4.435946,0,0.432665,2.574779,6.88216,7.698747,12.54021,13.378344,13.662586,13.058072,7.532487,7.046073,1.023707,0,0,3.207781,6.279617
2022,2,12.360009,14.794628,3,10.056585,-17.063706,,,Deer(s),1,2,3,4,5,4,3,2,1,0,0,0,0,1,2,3,4,3,2,1,0,0,0,1,2,3,4,5,4,3,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,17.304446,11.799544,4,7.097615,-16.847176,,,Grain (in),3.781096,11.117378,10.056585,7.097615,3.098344,0,0,0,0,0,0.244054,0.978392,2.523787,9.805172,8.849078,6.849079,3.849079,0,0,0,0,0.468606,1.776775,4.663057,12.613594,10.932535,7.938894,3.939376,0,0,0,0,0,0.002599,0.849031,1.013488,1.193706,0.238312,0,0,0,0,0,0,0,0.00691,0.010298,0.047459,0.285029,0.288496,0.288496,0.288496,0.288496,0.288496,0.288496,0.288496,0.288496,0.288496,0.344813,0.613509
2022,4,21.493064,10.584299,5,3.098344,-16.632759,,,Global Warming (Celsius),-17.522971,-17.295947,-17.063706,-16.847176,-16.632759,-16.44527,-16.18707,-16.01279,-15.823303,-15.564991,-15.350347,-15.200541,-14.978429,-14.760451,-14.534062,-14.357976,-14.084934,-13.868141,-13.667332,-13.497072,-13.32315,-13.101522,-12.916124,-12.706011,-12.471877,-12.267958,-12.032709,-11.764663,-11.552038,-11.386189,-11.110058,-10.944027,-10.750279,-10.534702,-10.363477,-10.124745,-9.880411,-9.677367,-9.476611,-9.203845,-9.033271,-8.795705,-8.578271,-8.313112,-8.03624,-7.825173,-7.638571,-7.486042,-7.344057,-7.141596,-6.906135,-6.657577,-6.454878,-6.288728,-6.145157,-5.909633,-5.666312,-5.442886,-5.295778,-5.043784
2022,5,24.964642,9.694314,4,0,-16.44527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,6,24.940448,7.304207,3,0,-16.18707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,7,21.127938,4.046499,2,0,-16.01279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,8,25.335481,2.997596,1,0,-15.823303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,9,19.951346,2.919979,0,0,-15.564991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,10,14.494137,4.209419,0,0.244054,-15.350347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,11,12.508884,3.684373,0,0.978392,-15.200541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,0,11.777039,8.589455,0,2.523787,-14.978429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1,6.450062,12.856122,1,9.805172,-14.760451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,2,17.132492,13.270557,2,8.849078,-14.534062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,3,27.045335,13.28109,3,6.849079,-14.357976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,4,29.589657,12.234515,4,3.849079,-14.084934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,5,34.42379,9.607231,3,0,-13.868141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,6,29.971873,6.161427,2,0,-13.667332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,7,32.487734,2.293869,1,0,-13.497072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,8,28.031697,1.12588,0,0,-13.32315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,9,12.412192,0.522111,0,0.468606,-13.101522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,10,11.562165,4.641373,0,1.776775,-12.916124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,11,9.695714,5.062406,1,4.663057,-12.706011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,0,4.454369,9.25786,2,12.613594,-12.471877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,14.561234,11.54442,3,10.932535,-12.267958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,2,19.336489,12.638755,4,7.938894,-12.032709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,3,21.774843,13.227699,5,3.939376,-11.764663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,4,28.780361,12.726425,4,0,-11.552038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,5,36.53133,8.502069,3,0,-11.386189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,6,30.582407,6.625326,2,0,-11.110058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,7,29.061746,3.531661,1,0,-10.944027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,8,27.657462,0.890391,0,0,-10.750279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
