Array Size,Non SIMD Multiplication Performance (MegaMults/Second),SIMD Multiplication Performance (MegaMults/Second),Multiplication Speedup,Non SIMD Multiplication Sum Performance (MegaMults/Second),SIMD Multiplication Sum Performance (MegaMults/Second),Multiplication Sum Speedup,,,,1000,10000,100000,1000000,2000000,3000000,4000000,5000000,6000000,7000000,8000000
1000,221.63,1602.6,7.23,223.52,1788.82,8,,,Multiplication Sum Speedup,8,8.2,7.95,7.67,4.83,5.41,5.39,5.8,5.34,4.88,5.81
10000,222.25,1857.68,8.36,225.85,1852.56,8.2,,,,,,,,,,,,,,
100000,220.82,1413.47,6.4,225.44,1792.89,7.95,,,,,,,,,,,,,,
1000000,217.23,1125.71,5.18,223.9,1717.84,7.67,,,,,,,,,,,,,,
2000000,213.42,815.68,3.82,219.78,1060.9,4.83,,,,,,,,,,,,,,
3000000,212.91,828.02,3.89,218.04,1178.91,5.41,,,,,,,,,,,,,,
4000000,213.45,819.35,3.84,218.38,1176.44,5.39,,,,,,,,,,,,,,
5000000,212.96,811.56,3.81,225.73,1309.07,5.8,,,,,,,,,,,,,,
6000000,212.9,830.77,3.9,226.79,1212.14,5.34,,,,,,,,,,,,,,
7000000,213.55,831.17,3.89,225.31,1100.34,4.88,,,,,,,,,,,,,,
8000000,212.51,859.13,4.04,225.23,1309.11,5.81,,,,,,,,,,,,,,
