Number of Trials,Blocksize,Performance (MegaTrials/Second),Probability,,,,1024,4096,16384,65536,262144,1048576,2097152,4194304
1024,8,7.4697,21.88%,,,8,7.4697,35.3006,152.6081,411.1624,818.0547,993.0901,1026.1324,1090.6943
4096,8,35.3006,22.95%,,,32,9.6794,29.304,152.5626,434.7273,1742.9787,2383.9942,3004.8601,3701.5534
16384,8,152.6081,21.97%,,,128,9.7412,31.7303,150.81,579.1855,2162.6188,4145.7492,4592.8937,5931.1282
65536,8,411.1624,22.29%,,,,,,,,,,,
262144,8,818.0547,22.48%,,,,,,,,,,,
1048576,8,993.0901,22.52%,,,,,,,,,,,
2097152,8,1026.1324,22.52%,,,,,,,,,,,
4194304,8,1090.6943,22.50%,,,,,,,,,,,
1024,32,9.6794,22.36%,,,,,,,,,,,
4096,32,29.304,22.75%,,,,,,,,,,,
16384,32,152.5626,22.80%,,,,,,,,,,,
65536,32,434.7273,22.35%,,,,,,,,,,,
262144,32,1742.9787,22.46%,,,,,,,,,,,
1048576,32,2383.9942,22.53%,,,,,,,,,,,
2097152,32,3004.8601,22.54%,,,,,,,,,,,
4194304,32,3701.5534,22.51%,,,,,,,,,,,
1024,128,9.7412,23.54%,,,,,,,,,,,
4096,128,31.7303,22.36%,,,,,,,,,,,
16384,128,150.81,22.13%,,,,,,,,,,,
65536,128,579.1855,22.53%,,,,,,,,,,,
262144,128,2162.6188,22.47%,,,,,,,,,,,
1048576,128,4145.7492,22.48%,,,,,,,,,,,
2097152,128,4592.8937,22.49%,,,,,,,,,,,
4194304,128,5931.1282,22.48%,,,,,,,,,,,
