Global Work Sizes,Local Work Sizes,Number of Work Groups,Performance (GigaMults Per Second),,,,,8,16,32,64,128,256,512
1,8,131072,1.748,,,,1,1.748,2.401,2.989,3.627,3.049,2.361,3.285
1,16,65536,2.401,,,,2,2.081,3.188,4.443,5.008,7.072,4.136,5.515
1,32,32768,2.989,,,,4,2.589,3.937,6.329,6.648,9.352,8.954,7.499
1,64,16384,3.627,,,,8,2.744,4.746,7.692,9.58,12.529,9.887,11.611
1,128,8192,3.049,,,,,,,,,,,
1,256,4096,2.361,,,,,,,,,,,
1,512,2048,3.285,,,,,,,,,,,
2,8,262144,2.081,,,,,,,,,,,
2,16,131072,3.188,,,,,,,,,,,
2,32,65536,4.443,,,,,,,,,,,
2,64,32768,5.008,,,,,,,,,,,
2,128,16384,7.072,,,,,,,,,,,
2,256,8192,4.136,,,,,,,,,,,
2,512,4096,5.515,,,,,,,,,,,
4,8,524288,2.589,,,,,,,,,,,
4,16,262144,3.937,,,,,,,,,,,
4,32,131072,6.329,,,,,,,,,,,
4,64,65536,6.648,,,,,,,,,,,
4,128,32768,9.352,,,,,,,,,,,
4,256,16384,8.954,,,,,,,,,,,
4,512,8192,7.499,,,,,,,,,,,
8,8,1048576,2.744,,,,,,,,,,,
8,16,524288,4.746,,,,,,,,,,,
8,32,262144,7.692,,,,,,,,,,,
8,64,131072,9.58,,,,,,,,,,,
8,128,65536,12.529,,,,,,,,,,,
8,256,32768,9.887,,,,,,,,,,,
8,512,16384,11.611,,,,,,,,,,,
