Global Work Sizes,Local Work Sizes,Number of Work Groups,Performance (GigaMults Per Second),,,,,8,16,32,64,128,256,512
1,8,131072,1.433,,,,1,1.433,2.081,2.346,3.169,3.572,3.444,3.382
1,16,65536,2.081,,,,2,1.685,2.618,3.966,4.908,4.993,4.89,4.794
1,32,32768,2.346,,,,4,1.981,3.448,4.542,6.578,8.143,7.788,8.737
1,64,16384,3.169,,,,8,2.066,3.69,6.1,8.309,9.693,9.563,9.872
1,128,8192,3.572,,,,,,,,,,,
1,256,4096,3.444,,,,,,,,,,,
1,512,2048,3.382,,,,,,,,,,,
2,8,262144,1.685,,,,,,,,,,,
2,16,131072,2.618,,,,,,,,,,,
2,32,65536,3.966,,,,,,,,,,,
2,64,32768,4.908,,,,,,,,,,,
2,128,16384,4.993,,,,,,,,,,,
2,256,8192,4.89,,,,,,,,,,,
2,512,4096,4.794,,,,,,,,,,,
4,8,524288,1.981,,,,,,,,,,,
4,16,262144,3.448,,,,,,,,,,,
4,32,131072,4.542,,,,,,,,,,,
4,64,65536,6.578,,,,,,,,,,,
4,128,32768,8.143,,,,,,,,,,,
4,256,16384,7.788,,,,,,,,,,,
4,512,8192,8.737,,,,,,,,,,,
8,8,1048576,2.066,,,,,,,,,,,
8,16,524288,3.69,,,,,,,,,,,
8,32,262144,6.1,,,,,,,,,,,
8,64,131072,8.309,,,,,,,,,,,
8,128,65536,9.693,,,,,,,,,,,
8,256,32768,9.563,,,,,,,,,,,
8,512,16384,9.872,,,,,,,,,,,
